,date,title,target
58808,2022-02-14,το μαξίμου έχει νεύρα με το κιναλ,0
37993,2021-02-28,"κουφοντίνας: δε θέλω να πεθάνω, αλλά δεν μου αφήνουν άλλη επιλογή",0
30981,2020-07-04,δέκα σημεία για το δυσοίωνο (μεθ)αύριο της εκπαίδευσης,0
58387,2022-02-03,αντιδράσεις για το νέο οργανισμό του υπουργείου ανάπτυξη,0
69597,2022-08-25,"champions league: η κλήρωση των ομίλων, όλα τα γκρουπ",0
33678,2020-12-18,ευρωπαϊκό πανεπιστήμιο κύπρου με νέες διακρίσεις,0
47303,2021-08-05,τα reality έχουν «εκπαιδεύσει» επιδειξίες και κακοποιητές,0
58791,2022-02-13,ταξίδι στη μέσα μάνη με audi q4 e-tron: ένας βράχος στη θάλασσα,0
46415,2021-07-22,νομοτεχνικό «παράθυρο» επέκτασης των υποχρεωτικών εμβολιασμών,0
33557,2020-12-17,κινητοποίηση κατά της αστυνομίας πανεπιστημίων,0
69562,2022-08-25,ο μπάιντεν διαγράφει 10.000 δολ. από κάθε φοιτητικό δάνειο,0
57098,2022-01-14,επικίνδυνος τραγέλαφος στην επιστράτευση των γιατρών,0
62117,2022-04-08,φαρμακευτική: μία πολύπλευρη επιστήμη που ανοίγει ένα ευρύ φάσμα,0
57826,2022-01-26,τι ανέδειξε η απίστευτη τραγωδία με τους εγκλωβισμένους πολίτες,0
47572,2021-08-10,αυστρία: τρίζει η καρέκλα κουρτς από «projekt ballhausplatz»,0
71302,2022-11-04,έγκλημα στην τήνο: στον εισαγγελέα ο δράστης,0
61617,2022-04-01,"η «ομικρον» απειλεί με  μπλακ άουτ εσυ, δημόσιο και επιχειρήσεις",0
34306,2020-12-31,παρατάσεις σε φορολογικές προθεσμίες ανακοίνωσε η ααδε,0
45815,2021-07-11,"breathing bad, symptoms και moderna family: οι χρήστες του",0
63345,2022-05-03,ζελένσκι: ζήτησε από την ανατολική ευρώπη να στείλει,0
48799,2021-08-31,ο αλέξης κούγιας αναλαμβάνει την 17χρονη που κατήγγειλε βιασμό,0
53020,2021-11-07,υπόθεση μαρέβας και πόθεν έσχες μητσοτάκη: τα έγγραφα,0
57847,2022-01-26,ομιλία μητσοτάκη για το φιάσκο: είμαι αητός χωρίς φτερά,0
50337,2021-09-25,«ο φέργκιουσον με απέλυσε κι άλλαξε γνώμη»,0
45271,2021-07-02,«πρόχειρο και σύντομο» κατά τον στεφανάδη το «κορονογεύμα»,0
43001,2021-05-25,περού: 18 νεκροί σε επίθεση σε περιοχή όπου παράγεται κόκα,0
51977,2021-10-20,υποψήφιος για την ηγεσία του κιναλ ο γιώργος παπαναδρέου,0
70322,2022-09-06,συριζα: απροετοίμαστη η κυβέρνηση στην αντιπυρική περίοδο,0
59691,2022-02-27,"το ράιχσταγκ στις φλόγες, εξαπλώνεται ο ναζισμός",0
64866,2022-05-29,αυτά είναι τα μέλη της νέας πολιτικής γραμματείας του συριζα,0
59659,2022-02-26,τα πολυμορφικά επιμένουν: νέα bmw 2 active tourer,0
62996,2022-04-27,θόδωρος αγγελόπουλος: ο ποιητής της 7ης τέχνης,0
29403,2020-05-28,σύγκρουση δυο κόσμων για την επόμενη ημέρα της πανδημικής κρίσης,0
68170,2022-07-28,"τσίπρας: κράτος λάφυρο, κράτος κολλητών, κράτος της δεξιάς",0
28378,2020-05-07,πυροσβέστες με καθήκοντα νοσηλευτών στο αεροδρόμιο ηρακλείου,0
55830,2021-12-21,τζανάκης για μετάλλαξη «όμικρον»: έως και 10 φορές περισσότερα,0
58294,2022-02-02,το γεγονός ότι συζητάνε για κυβέρνηση τεχνοκρατών είναι,0
65339,2022-06-06,καταργείται το καθεστώς των πανεπιστημιακών βιβλιοθηκών,0
26243,2020-02-06,νέα «γκάφα» θεοχάρη που απειλεί τις σχέσεις ελλάδας - ιταλίας,0
62657,2022-04-21,"κοροναϊός: 6.755 νέα κρούσματα, 43 νεκροί, 284 διασωληνωμένοι",0
42741,2021-05-20,η πατέντα να ανοίγεις τα σχολεία και να κλείνεις την εκπαίδευση,0
35085,2021-01-13,«όταν έκλαψε ο κικίλιας»,0
60112,2022-03-05,εγκληματικά λάθη στην σανγκάη: τον είχαν για νεκρό,0
42166,2021-05-10,γυναίκα επιτέθηκε και δάγκωσε φύλακα στο νοσοκομείο άγιος σάββας,0
60002,2022-03-03,πώς οι χριστιανοί διέλυσαν τον αρχαίο κόσμο,0
71408,2022-11-06,πόλεμος στην ουκρανία: ο αποκλεισμός της μαύρης θάλασσας,0
36897,2021-02-10,"πώς θα επιδοτούνται οι καταναλωτές για ρεύμα, πετρέλαιο θέρμανσης",0
67324,2022-07-14,χωρίς ενεργές εστίες η φωτιά στη σάμο - τεράστια καταστροφή,0
60244,2022-03-07,φωτεινή στέκα στην ακρόπολη,0
45303,2021-07-03,κορονοϊός: συναγερμός για δύο κρούσματα νέων μεταλλάξεων,0
27640,2020-04-23,toyota yaris cross: ολοκαίνουριο compact suv,0
35432,2021-01-18,κοροναϊός: ασθενείς με αυξημένη επικινδυνότητα ανιχνεύει νέο τεστ,0
61311,2022-03-28,τσίπρας: ο σαϊντού πρέπει να μείνει στην ελλάδα,0
55428,2021-12-15,ηπα: ξεπεράστηκε το ορόσημο των 800.000 θανάτων από κορονοϊό,0
55872,2021-12-22,η «όμικρον» μολύνει το μαξίμου,0
53914,2021-11-22,ηπα: έρευνα για τα κίνητρα του μακελειού στο ουισκόνσιν,0
25884,2020-01-04,η βιάννος αποχαιρετά τον μανώλη γλέζο,0
53582,2021-11-16,φονική σύγκρουση στον ησαπ: έβαλαν το ένα τρένο να σταματήσει το,0
38188,2021-03-03,λαμία-παοκ 1-1 για τα προημιτελικά του κυπέλλου,0
37504,2021-02-19,τα καλύτερα γκολ του europa league,0
39665,2021-03-29,διεθνείς αντιδράσεις για τη σφαγή από τη χούντα της μιανμάρ,0
35956,2021-01-26,βιασμός 11χρονης: απειλές για τη ζωή της καταγγέλλει η αθλήτρια,0
27088,2020-04-14,πασχομανδραβελιές,0
35635,2021-01-21,«όχι» από μέρκελ και μακρόν στην πρόταση μητσοτάκη,0
26912,2020-04-06,εξώδικο εύας μπούρα κατά ζούλα - ερτ για το κόψιμο της εκπομπής,0
45290,2021-07-02,«μπορείς να λες τι πιστεύεις αρκεί να συμφωνείς με τον μάνεση»,0
43398,2021-06-01,και τι θέλει ο κ. τσίπρας να κλείσουμε με βία τις εκκλησίες,0
68084,2022-07-27,«μην τον χτυπάτε είναι ιερέας»: χαμός με αστυνομικούς και πιστούς,0
61990,2022-04-07,νεκροί 15χρονη και 23χρονος σε τροχαίο στα χανιά,0
42411,2021-05-14,ο βουλευτής της νδ β. σπανάκης δεν λέει το όνομα «β. μακεδονία»,0
41090,2021-04-22,η κλιματική αλλαγή μέσα από τρεις γυναίκες σε τρεις ηπείρους,0
46609,2021-07-25,"κορονοϊός : 1.553 κρούσματα, 8 θάνατοι, 134 διασωληνωμένοι",0
36637,2021-02-07,τι δείχνει δημοσκόπηση για την πρόθεση εμβολιασμού,0
53621,2021-11-17,αγωνία για 62χρονο πιλότο μονοκινητήριου αεροσκάφους,0
42892,2021-05-23,"τελευταία αγωνιστική στην ισπανία, πρωταθλήτρια στην ατλέτικο",0
35317,2021-01-17,"εμβόλιο, προτεραιότητα, ρουσφέτια και λαθροχειρίες",0
70702,2022-10-03,από τον κύρτσο στην τουλουπάκη,0
60260,2022-03-08,νέες αυξήσεις στο ρεύμα,0
36778,2021-02-09,ποια η τελευταία επιθυμία του μίκη θεδωράκη για τον τόπο ταφής,0
65868,2022-06-18,κρέμασαν νεκρό γατάκι στην πόρτα της προέδρου του καμαρίου,0
50241,2021-09-23,αφορολόγητο γονικής παροχής και μεταβίβαση μετοχών,0
29906,2020-06-13,ο συριζα για την επίσκεψη μητσοτάκη στη σαντορίνη,0
26028,2020-01-07,συνέντευξη κούλογλου,0
60009,2022-03-03,πόλεμος στην ουκρανία: στόχος επίθεσης κέντρο ραδιοφωνίας,0
59854,2022-03-01,εντός εβδομάδας οι τελικές αποφάσεις για τα σχολεία,0
49713,2021-09-15,πέπλο μυστηρίου για κοινή δήλωση ηπα-ην.βασιλείου-αυστραλίας,0
64441,2022-05-23,ταινίες της ημέρας: «ξανά ανάλυσε το»,0
31075,2020-07-05,πώς θα είναι τα ταξίδια και οι διακοπές μέχρι να βρεθεί εμβόλιο,0
63425,2022-05-04,εκατοντάδες προσφυγόπουλα ωθούνται εκτός εκπαίδευσης,0
35406,2021-01-18,"ρεύμα ιδεών για ισχυρό συριζα, για την προοδευτική διακυβέρνηση",0
39494,2021-03-26,βαρουφάκης: το πρωτοσέλιδο της «καθημερινής» την 25η μαρτίου 1821,0
35855,2021-01-25,«people are awesome»: αυτοί είναι οι απίθανοι τύποι της εβδομάδας,0
68566,2022-08-05,"ταινίες της ημέρας: παλιά ελληνική ταινία, «ο σημαδεμένος»",0
