,date,title,target
18575,2020-01-01,εντοπίστηκε το γονίδιο που επιτρέπει στις θεσσαλονικιές να βάφονται κάτω από οποιεσδήποτε συνθήκες,1
16506,2020-01-07,έβδομη συνεχόμενη ημέρα που τρώει βασιλόπιτα για πρωινό 22χρονος φοιτητής από την ξάνθη,1
16500,2020-01-07,40χρονος βούτηξε στην παγωμένη θάλασσα για να πιάσει έναν σταυρό,1
2546,2020-01-08,με road trip στην καλιφόρνια θα ολοκληρώσει το ταξίδι του στις ηπα ο κυριάκος μητσοτάκης,1
2506,2020-01-08,με καρκίνο στο χιούμορ διαγνώστηκε ο μάρκος σεφερλής,1
3053,2020-01-09,ευτυχώς που σε λίγους μήνες έχει ολυμπιακούς αγώνες και αναγκαστικά θα επέλθει ειρήνη,1
2536,2020-01-09,από ιγκλού θα βγαίνει το δελτίο ειδήσεων του alpha στην επόμενη κακοκαιρία,1
2583,2020-01-10,βιογραφικό στο μπάκιγχαμ έστειλε ο πρίγκιπας παύλος,1
2656,2020-01-10,στρατό από robokids χτίζει η cosmote με στόχο την επίτευξη καλού σήματος στο κέντρο της αθήνας,1
2731,2020-01-13,τρεις ώρες εξάσκηση στα αριστερά λέι απ περιελάμβανε η πρώτη προπόνηση του μπαρτζώκα στον ολυμπιακό,1
2694,2020-01-13,"αναλλοίωτος για ακόμη ένα σαββατοκύριακο ο ρατσισμός μεγάλου ποσοστού των ελλήνων, ήσυχος κοιμήθηκε ο άδωνις γεωργιάδης",1
18690,2020-01-13,ένα πορτατίφ αναμένεται να προτείνει ο κυριάκος μητσοτάκης για πρόεδρο της δημοκρατίας,1
13119,2020-01-14,βρέθηκε λύση: μέσω airbnb θα κλείνουν σπίτια για καταλήψεις στο κουκάκι οι αναρχικοί,1
18832,2020-01-14,συγκλονίζει η υπόθεση νεαρού άνδρα που ξεκίνησε γυμναστήριο χωρίς να το πει σε κανέναν,1
13120,2020-01-14,η πρώτη πόλη που είχε μετρό τον μεσαίωνα έγινε η αθήνα μετά την τοποθέτηση αφισών κατά των αμβλώσεων,1
13121,2020-01-15,ούτε σήμερα θα ξεστολίσει τελικά νεαρό ζευγάρι από το μετς,1
5943,2020-01-15,μόνο παρασκευές φέτος το masterchef,1
13122,2020-01-16,σε «πλατεία στρατάρχη χαλίφα μπελκασίμ χαφτάρ» μετονομάζεται η κεντρική πλατεία της τρίπολης,1
18516,2020-01-17,έλληνας αποκτά ικανότητες νίντζα στην προσπάθεια του να φάει κρυφά στην κουζίνα,1
3014,2020-01-17,"καλύτερα που δεν με κάλεσαν στο βερολίνο, τέτοια εποχή έχει ψοφόκρυο",1
2310,2020-01-17,προμήθεια 3 ευρώ σε κάθε συναλλαγή θα κρατάνε οι τράπεζες σε όσους ξοδεύουν πάνω από 2 λεπτά στα ατμ,1
